tempo,mao,angulo,velocidade_px_s,tempo_up_s
4.39,Left,0.00,0.00,0.00
4.45,Right,0.00,166.49,0.00
4.45,Left,0.00,0.00,0.00
4.52,Right,0.00,151.44,0.00
4.52,Left,0.00,0.00,0.00
4.57,Right,0.00,124.39,0.00
4.57,Left,0.00,0.00,0.00
4.63,Right,0.00,107.36,0.00
4.63,Left,0.00,0.00,0.00
4.71,Right,0.00,113.81,0.00
4.71,Left,0.00,0.00,0.00
4.77,Right,0.00,177.65,0.00
4.77,Left,0.00,0.00,0.00
4.84,Right,0.00,239.32,0.00
4.84,Left,0.00,0.00,0.00
4.90,Right,0.00,214.29,0.00
4.90,Left,0.00,0.00,0.00
4.96,Right,0.00,241.17,0.00
4.96,Left,0.00,0.00,0.00
5.02,Right,0.00,326.25,0.00
5.02,Left,0.00,0.00,0.00
5.09,Right,0.00,256.30,0.00
5.09,Left,0.00,0.00,0.00
5.14,Right,0.00,200.22,0.00
5.14,Left,0.00,0.00,0.00
5.21,Right,0.00,200.89,0.00
5.21,Left,0.00,0.00,0.00
5.27,Right,0.00,197.08,0.00
5.27,Left,0.00,0.00,0.00
5.33,Right,0.00,119.31,0.00
5.33,Left,0.00,0.00,0.00
5.39,Right,0.00,206.18,0.00
5.39,Left,0.00,0.00,0.00
5.45,Right,0.00,217.00,0.00
5.45,Left,0.00,0.00,0.00
5.52,Right,0.00,202.02,0.00
5.52,Left,0.00,0.00,0.00
5.58,Right,0.00,213.41,0.00
5.58,Left,0.00,0.00,0.00
5.63,Right,0.00,312.86,0.00
5.63,Left,0.00,0.00,0.00
5.70,Right,0.00,227.01,0.00
5.70,Left,0.00,0.00,0.00
5.76,Right,0.00,215.10,0.00
5.76,Left,0.00,0.00,0.00
5.82,Right,0.00,207.01,0.00
5.82,Left,0.00,0.00,0.00
5.88,Right,0.00,185.20,0.00
5.88,Left,0.00,0.00,0.00
5.94,Right,0.00,75.86,0.00
5.94,Left,0.00,0.00,0.00
6.00,Right,0.00,76.93,0.00
6.00,Left,0.00,0.00,0.00
6.06,Right,0.00,101.77,0.00
6.06,Left,0.00,0.00,0.00
6.12,Right,0.00,131.60,0.00
6.12,Left,0.00,0.00,0.00
6.18,Right,0.00,129.60,0.00
6.18,Left,0.00,0.00,0.00
6.24,Right,0.00,191.70,0.00
6.24,Left,0.00,0.00,0.00
6.31,Right,0.00,186.69,0.00
6.31,Left,0.00,0.00,0.00
6.37,Right,0.00,164.31,0.00
6.37,Left,0.00,0.00,0.00
6.43,Right,0.00,139.63,0.00
6.43,Left,0.00,0.00,0.00
6.48,Right,0.00,262.86,0.00
6.48,Left,0.00,0.00,0.00
6.55,Right,0.00,228.02,0.00
6.55,Left,0.00,0.00,0.00
6.60,Right,0.00,291.04,0.00
6.60,Left,0.00,0.00,0.00
6.66,Right,0.00,333.27,0.00
6.66,Left,0.00,0.00,0.00
6.71,Right,0.00,539.42,0.00
6.71,Left,0.00,0.00,0.00
6.78,Right,0.00,539.21,0.00
6.78,Left,0.00,0.00,0.00
6.83,Right,0.00,610.29,0.00
6.83,Left,0.00,0.00,0.00
6.89,Right,0.00,559.33,0.00
6.89,Left,0.00,0.00,0.00
6.96,Right,0.00,546.22,0.00
6.96,Left,0.00,0.00,0.00
7.01,Right,0.00,393.96,0.00
7.01,Left,0.00,0.00,0.00
7.07,Right,0.00,310.03,0.00
7.07,Left,0.00,0.00,0.00
7.13,Right,0.00,238.15,0.00
7.13,Left,0.00,0.00,0.00
7.19,Right,0.00,245.09,0.00
7.19,Left,0.00,0.00,0.00
7.25,Right,0.00,228.20,0.00
7.25,Left,0.00,0.00,0.00
7.30,Right,0.00,171.91,0.00
7.30,Left,0.00,0.00,0.00
7.36,Right,0.00,138.81,0.00
7.36,Left,0.00,0.00,0.00
7.43,Right,0.00,173.33,0.00
7.43,Left,0.00,0.00,0.00
7.49,Right,0.00,158.66,0.00
7.49,Left,0.00,0.00,0.00
7.54,Right,0.00,151.59,0.00
7.54,Left,0.00,0.00,0.00
7.60,Right,0.00,163.18,0.00
7.60,Left,0.00,0.00,0.00
7.66,Right,0.00,209.59,0.00
7.66,Left,0.00,0.00,0.00
7.73,Right,0.00,151.63,0.00
7.73,Left,0.00,0.00,0.00
7.79,Right,0.00,145.91,0.00
7.79,Left,0.00,0.00,0.00
7.86,Right,0.00,146.14,0.00
7.86,Left,0.00,0.00,0.00
7.91,Right,0.00,134.10,0.00
7.91,Left,0.00,0.00,0.00
7.97,Right,0.00,79.61,0.00
7.97,Left,0.00,0.00,0.00
8.03,Right,0.00,69.71,0.00
8.03,Left,0.00,0.00,0.00
8.09,Right,0.00,127.67,0.00
8.09,Left,0.00,0.00,0.00
8.15,Right,0.00,143.21,0.00
8.15,Left,0.00,0.00,0.00
8.21,Right,0.00,144.84,0.00
8.21,Left,0.00,0.00,0.00
8.27,Right,0.00,169.91,0.00
8.27,Left,0.00,0.00,0.00
8.33,Right,0.00,181.80,0.00
8.33,Left,0.00,0.00,0.00
8.39,Right,0.00,120.46,0.00
8.39,Left,0.00,0.00,0.00
8.46,Right,0.00,100.84,0.00
8.46,Left,0.00,0.00,0.00
8.52,Right,0.00,127.47,0.00
8.52,Left,0.00,0.00,0.00
8.59,Right,0.00,102.73,0.00
8.59,Left,0.00,0.00,0.00
8.65,Right,0.00,93.66,0.00
8.65,Left,0.00,0.00,0.00
8.71,Right,0.00,89.29,0.00
8.71,Left,0.00,0.00,0.00
8.77,Right,0.00,110.95,0.00
8.77,Left,0.00,0.00,0.00
8.83,Right,0.00,72.32,0.00
8.83,Left,0.00,0.00,0.00
8.89,Right,0.00,68.71,0.00
8.89,Left,0.00,0.00,0.00
8.95,Right,0.00,91.24,0.00
8.95,Left,0.00,0.00,0.00
9.01,Right,0.00,94.53,0.00
9.01,Left,0.00,0.00,0.00
9.07,Right,0.00,65.15,0.00
9.07,Left,0.00,0.00,0.00
9.13,Right,0.00,74.99,0.00
9.13,Left,0.00,0.00,0.00
9.19,Right,0.00,131.08,0.00
9.19,Left,0.00,0.00,0.00
9.25,Right,0.00,119.08,0.00
9.25,Left,0.00,0.00,0.00
9.33,Right,0.00,119.87,0.00
9.33,Left,0.00,0.00,0.00
9.39,Right,0.00,173.65,0.00
9.39,Left,0.00,0.00,0.00
9.45,Right,0.00,177.24,0.00
9.45,Left,0.00,0.00,0.00
9.51,Right,0.00,128.09,0.00
9.51,Left,0.00,0.00,0.00
9.57,Right,0.00,129.10,0.00
9.57,Left,0.00,0.00,0.00
9.63,Right,0.00,154.18,0.00
9.63,Left,0.00,0.00,0.00
9.69,Right,0.00,115.82,0.00
9.69,Left,0.00,0.00,0.00
9.75,Right,0.00,102.73,0.00
9.75,Left,0.00,0.00,0.00
9.82,Right,0.00,109.62,0.00
9.82,Left,0.00,0.00,0.00
9.88,Right,0.00,102.96,0.00
9.88,Left,0.00,0.00,0.00
9.93,Right,0.00,78.34,0.00
9.93,Left,0.00,0.00,0.00
10.00,Right,0.00,67.19,0.00
10.00,Left,0.00,0.00,0.00
10.06,Right,0.00,93.09,0.00
10.06,Left,0.00,0.00,0.00
10.12,Right,0.00,79.35,0.00
10.12,Left,0.00,0.00,0.00
10.18,Right,0.00,72.49,0.00
10.18,Left,0.00,0.00,0.00
10.24,Right,0.00,72.93,0.00
10.24,Left,0.00,0.00,0.00
10.30,Right,0.00,73.97,0.00
10.30,Left,0.00,0.00,0.00
10.36,Right,0.00,46.84,0.00
10.36,Left,0.00,0.00,0.00
10.41,Right,0.00,41.48,0.00
10.41,Left,0.00,0.00,0.00
10.47,Right,0.00,43.99,0.00
10.47,Left,0.00,0.00,0.00
10.53,Right,0.00,38.46,0.00
10.53,Left,0.00,0.00,0.00
10.59,Right,0.00,28.67,0.00
10.59,Left,0.00,0.00,0.00
10.65,Right,0.00,27.96,0.00
10.65,Left,0.00,0.00,0.00
10.71,Right,0.00,29.29,0.00
10.71,Left,0.00,0.00,0.00
10.77,Right,0.00,36.19,0.00
10.77,Left,0.00,0.00,0.00
10.83,Right,0.00,46.50,0.00
10.83,Left,0.00,0.00,0.00
10.89,Right,0.00,52.50,0.00
10.89,Left,0.00,0.00,0.00
10.95,Right,0.00,164.70,0.00
10.95,Left,0.00,0.00,0.00
11.01,Right,0.00,198.04,0.00
11.01,Left,0.00,0.00,0.00
11.07,Right,0.00,216.13,0.00
11.07,Left,0.00,0.00,0.00
11.13,Right,0.00,246.85,0.00
11.13,Left,0.00,0.00,0.00
11.20,Right,0.00,620.43,0.00
11.20,Left,0.00,0.00,0.00
11.24,Right,0.00,754.64,0.00
11.24,Left,0.00,0.00,0.00
11.30,Right,0.00,810.03,0.00
11.30,Left,0.00,0.00,0.00
11.37,Right,0.00,844.85,0.00
11.37,Left,0.00,0.00,0.00
11.44,Right,0.00,737.36,0.00
11.44,Left,0.00,0.00,0.00
11.48,Right,0.00,635.60,0.00
11.48,Left,0.00,0.00,0.00
11.54,Right,0.00,566.59,0.00
11.54,Left,0.00,0.00,0.00
11.60,Right,0.00,513.58,0.00
11.60,Left,0.00,0.00,0.00
11.66,Right,0.00,294.68,0.00
11.66,Left,0.00,0.00,0.00
11.72,Right,0.00,180.82,0.00
11.72,Left,0.00,0.00,0.00
11.78,Right,0.00,116.18,0.00
11.78,Left,0.00,0.00,0.00
11.83,Right,0.00,114.14,0.00
11.83,Left,0.00,0.00,0.00
11.90,Right,0.00,168.58,0.00
11.90,Left,0.00,0.00,0.00
11.96,Right,0.00,148.39,0.00
11.96,Left,0.00,0.00,0.00
12.02,Right,0.00,170.04,0.00
12.02,Left,0.00,0.00,0.00
12.08,Right,0.00,221.63,0.00
12.08,Left,0.00,0.00,0.00
12.14,Right,0.00,421.93,0.00
12.14,Left,0.00,0.00,0.00
12.20,Right,0.00,404.70,0.00
12.20,Left,0.00,0.00,0.00
12.25,Right,0.00,441.22,0.00
12.25,Left,0.00,0.00,0.00
12.31,Right,0.00,525.88,0.00
12.31,Left,0.00,0.00,0.00
12.37,Right,0.00,483.74,0.00
12.37,Left,0.00,0.00,0.00
12.44,Right,0.00,282.50,0.00
12.44,Left,0.00,0.00,0.00
12.50,Right,0.00,242.98,0.00
12.50,Left,0.00,0.00,0.00
12.56,Right,0.00,285.24,0.00
12.56,Left,0.00,0.00,0.00
12.62,Right,0.00,215.27,0.00
12.62,Left,0.00,0.00,0.00
12.68,Right,0.00,260.15,0.00
12.68,Left,0.00,0.00,0.00
12.73,Right,0.00,292.33,0.00
12.73,Left,0.00,0.00,0.00
12.79,Right,0.00,423.91,0.00
12.79,Left,0.00,0.00,0.00
12.85,Right,0.00,346.56,0.00
12.85,Left,0.00,0.00,0.00
12.91,Right,0.00,296.50,0.00
12.91,Left,0.00,0.00,0.00
12.97,Right,0.00,252.43,0.00
12.97,Left,0.00,0.00,0.00
13.04,Right,0.00,212.96,0.00
13.04,Left,0.00,0.00,0.00
13.08,Right,0.00,279.04,0.00
13.08,Left,0.00,0.00,0.00
13.14,Right,0.00,335.47,0.00
13.14,Left,0.00,0.00,0.00
13.21,Right,0.00,374.00,0.00
13.21,Left,0.00,0.00,0.00
13.28,Right,0.00,405.44,0.00
13.28,Left,0.00,0.00,0.00
13.32,Right,0.00,386.53,0.00
13.32,Left,0.00,0.00,0.00
13.39,Right,0.00,355.73,0.00
13.39,Left,0.00,0.00,0.00
13.44,Right,0.00,320.79,0.00
13.44,Left,0.00,0.00,0.00
13.50,Right,0.00,278.11,0.00
13.50,Left,0.00,0.00,0.00
13.55,Right,0.00,243.39,0.00
13.55,Left,0.00,0.00,0.00
13.61,Right,0.00,203.31,0.00
13.61,Left,0.00,0.00,0.00
13.68,Right,0.00,120.68,0.00
13.68,Left,0.00,0.00,0.00
13.73,Right,0.00,109.37,0.00
13.73,Left,0.00,0.00,0.00
13.78,Right,0.00,112.88,0.00
13.78,Left,0.00,0.00,0.00
13.84,Right,0.00,116.00,0.00
13.84,Left,0.00,0.00,0.00
13.90,Right,0.00,85.78,0.00
13.90,Left,0.00,0.00,0.00
13.96,Right,0.00,67.26,0.00
13.96,Left,0.00,0.00,0.00
14.02,Right,0.00,126.77,0.00
14.02,Left,0.00,0.00,0.00
14.08,Right,0.00,173.21,0.00
14.08,Left,0.00,0.00,0.00
14.14,Right,0.00,236.61,0.00
14.14,Left,0.00,0.00,0.00
14.22,Right,0.00,337.57,0.00
14.22,Left,0.00,0.00,0.00
14.28,Right,0.00,433.91,0.00
14.28,Left,0.00,0.00,0.00
14.34,Right,0.00,447.27,0.00
14.34,Left,0.00,0.00,0.00
14.40,Right,0.00,483.66,0.00
14.40,Left,0.00,0.00,0.00
14.46,Right,0.00,426.13,0.00
14.46,Left,0.00,0.00,0.00
14.52,Right,0.00,349.57,0.00
14.52,Left,0.00,0.00,0.00
14.58,Right,0.00,291.15,0.00
14.58,Left,0.00,0.00,0.00
14.65,Right,0.00,298.25,0.00
14.65,Left,0.00,0.00,0.00
14.70,Right,0.00,423.99,0.00
14.70,Left,0.00,0.00,0.00
14.76,Right,0.00,434.30,0.00
14.76,Left,0.00,0.00,0.00
14.81,Right,0.00,433.08,0.00
14.81,Left,0.00,0.00,0.00
14.87,Right,0.00,319.08,0.00
14.87,Left,0.00,0.00,0.00
14.93,Right,0.00,295.75,0.00
14.93,Left,0.00,0.00,0.00
15.01,Right,0.00,212.25,0.00
15.01,Left,0.00,0.00,0.00
15.05,Right,0.00,212.25,0.00
15.05,Left,0.00,0.00,0.00
15.11,Right,0.00,486.84,0.00
15.11,Left,0.00,0.00,0.00
15.17,Right,0.00,493.75,0.00
15.17,Left,0.00,0.00,0.00
15.23,Right,0.00,502.89,0.00
15.23,Left,0.00,0.00,0.00
15.30,Right,0.00,653.53,12.12
15.30,Left,0.00,0.00,0.00
15.36,Right,0.00,484.09,12.12
15.36,Left,0.00,0.00,0.00
15.42,Right,0.00,411.81,12.12
15.42,Left,0.00,0.00,0.00
15.46,Right,0.00,447.18,12.12
15.46,Left,0.00,0.00,0.00
15.53,Right,0.00,359.39,12.12
15.53,Left,0.00,0.00,0.00
15.59,Right,0.00,394.72,12.12
15.59,Left,0.00,0.00,0.00
15.65,Right,0.00,369.94,12.12
15.65,Left,0.00,0.00,0.00
15.71,Right,0.00,345.76,12.12
15.71,Left,0.00,0.00,0.00
15.77,Right,0.00,318.51,12.47
15.77,Left,0.00,0.00,0.00
15.83,Right,0.00,371.83,12.47
15.83,Left,0.00,0.00,0.00
15.89,Right,0.00,288.90,12.47
15.89,Left,0.00,0.00,0.00
15.96,Right,0.00,299.28,12.47
15.96,Left,0.00,0.00,0.00
16.02,Right,0.00,300.84,12.47
16.02,Left,0.00,0.00,0.00
16.09,Right,0.00,304.24,12.47
